Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 09/30/2020

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,B12LZW4,Riyad Bank,1010,0.11%,Diversified Banks,SA,---,"$92,704,585.85","18,601,441"
,BFMFKK7,Huazhu Group Ltd.,HTHT,0.11%,"Hotels, Resorts & Cruise Lines",CN,ADR,"$92,168,481.44","2,131,556"
,6414832,Kweichow Moutai Co. Ltd.,600519,0.10%,Distillers & Vintners,CN,---,"$90,129,690.27","366,461"
,BFXZDY1,ASE Technology Holding Co. Ltd.,3711,0.10%,Semiconductors,TW,---,"$89,943,679.71","43,685,723"
,6141011,Quanta Computer Inc.,2382,0.10%,"Technology Hardware, Storage & Periphera",TW,---,"$89,582,153.17","34,114,200"
,BJRFY31,Natura & Co. Holding SA,NTCO3,0.10%,Personal Products,BR,---,"$89,312,963.35","9,809,753"
,2458771,Itausa SA,ITSA4,0.10%,Diversified Banks,BR,---,"$88,409,426.66","56,420,284"
,BMBX7M2,KE Holdings Inc.,BEKE,0.10%,Real Estate Services,CN,ADR,"$88,280,704.60","1,440,142"
,B73XCZ3,Taiwan Cooperative Financial Holding Co. Ltd.,5880,0.10%,Diversified Banks,TW,---,"$88,259,872.14","130,370,738"
,BFZYWR2,Tencent Music Entertainment Group,TME,0.10%,Movies & Entertainment,CN,ADR,"$87,743,976.53","5,940,689"
,B1FFT76,Impala Platinum Holdings Ltd.,IMP,0.10%,Precious Metals & Minerals,ZA,---,"$86,830,956.78","9,993,537"
,B6SPB49,CITIC Securities Co. Ltd.,6030,0.10%,Investment Banking & Brokerage,CN,---,"$86,334,504.33","38,385,587"
,B01GZF6,UltraTech Cement Ltd.,ULTRACEMCO,0.10%,Construction Materials,IN,---,"$85,743,557.87","1,557,524"
,2849739,Itau Unibanco Holding SA,ITUB,0.10%,Diversified Banks,BR,ADR,"$84,331,205.10","21,188,745"
,B09N7M0,China Shenhua Energy Co. Ltd.,1088,0.10%,Coal & Consumable Fuels,CN,---,"$84,205,463.76","46,915,360"
